Repository,Date,Stars
GenericMappingTools/gmt,Sun Aug 12 2018 04:28:37 GMT+0200 (Mitteleuropäische Sommerzeit),0
GenericMappingTools/gmt,Mon Aug 13 2018 04:28:37 GMT+0200 (Mitteleuropäische Sommerzeit),1
GenericMappingTools/gmt,Fri Jan 04 2019 21:15:59 GMT+0100 (Mitteleuropäische Normalzeit),62
GenericMappingTools/gmt,Fri Mar 08 2019 15:57:05 GMT+0100 (Mitteleuropäische Normalzeit),123
GenericMappingTools/gmt,Thu Aug 01 2019 13:21:13 GMT+0200 (Mitteleuropäische Sommerzeit),184
GenericMappingTools/gmt,Tue Dec 10 2019 00:27:29 GMT+0100 (Mitteleuropäische Normalzeit),245
GenericMappingTools/gmt,Thu Mar 26 2020 09:37:59 GMT+0100 (Mitteleuropäische Normalzeit),306
GenericMappingTools/gmt,Sun Jul 19 2020 23:32:09 GMT+0200 (Mitteleuropäische Sommerzeit),367
GenericMappingTools/gmt,Thu Jan 21 2021 10:07:51 GMT+0100 (Mitteleuropäische Normalzeit),428
GenericMappingTools/gmt,Tue Jun 22 2021 19:14:01 GMT+0200 (Mitteleuropäische Sommerzeit),489
GenericMappingTools/gmt,Wed Dec 22 2021 03:00:24 GMT+0100 (Mitteleuropäische Normalzeit),550
GenericMappingTools/gmt,Fri Jun 24 2022 13:11:39 GMT+0200 (Mitteleuropäische Sommerzeit),611
GenericMappingTools/gmt,Wed Mar 01 2023 19:23:26 GMT+0100 (Mitteleuropäische Normalzeit),672
GenericMappingTools/gmt,Fri Sep 15 2023 09:52:04 GMT+0200 (Mitteleuropäische Sommerzeit),733
GenericMappingTools/gmt,Mon Apr 15 2024 08:20:29 GMT+0200 (Mitteleuropäische Sommerzeit),794
GenericMappingTools/gmt,Thu Dec 05 2024 07:00:13 GMT+0100 (Mitteleuropäische Normalzeit),855
GenericMappingTools/gmt,Fri Oct 17 2025 13:42:18 GMT+0200 (Mitteleuropäische Sommerzeit),916
GenericMappingTools/gmt,Fri Nov 21 2025 15:14:12 GMT+0100 (Mitteleuropäische Normalzeit),921
