Repository,Date,Stars
GenericMappingTools/gmtmex,Sat Jul 01 2017 03:18:20 GMT+0200 (Mitteleuropäische Sommerzeit),0
GenericMappingTools/gmtmex,Sun Jul 02 2017 03:18:20 GMT+0200 (Mitteleuropäische Sommerzeit),1
GenericMappingTools/gmtmex,Mon May 14 2018 22:46:28 GMT+0200 (Mitteleuropäische Sommerzeit),4
GenericMappingTools/gmtmex,Wed Nov 14 2018 17:04:41 GMT+0100 (Mitteleuropäische Normalzeit),7
GenericMappingTools/gmtmex,Sat Jul 20 2019 16:00:45 GMT+0200 (Mitteleuropäische Sommerzeit),10
GenericMappingTools/gmtmex,Sat Jan 11 2020 06:41:28 GMT+0100 (Mitteleuropäische Normalzeit),13
GenericMappingTools/gmtmex,Fri Jun 12 2020 21:09:26 GMT+0200 (Mitteleuropäische Sommerzeit),16
GenericMappingTools/gmtmex,Sun Dec 13 2020 09:19:15 GMT+0100 (Mitteleuropäische Normalzeit),19
GenericMappingTools/gmtmex,Wed Jan 27 2021 09:39:12 GMT+0100 (Mitteleuropäische Normalzeit),22
GenericMappingTools/gmtmex,Mon Jun 28 2021 08:39:36 GMT+0200 (Mitteleuropäische Sommerzeit),25
GenericMappingTools/gmtmex,Thu Apr 28 2022 16:01:03 GMT+0200 (Mitteleuropäische Sommerzeit),28
GenericMappingTools/gmtmex,Sat Jun 18 2022 15:54:33 GMT+0200 (Mitteleuropäische Sommerzeit),31
GenericMappingTools/gmtmex,Tue Nov 29 2022 21:38:50 GMT+0100 (Mitteleuropäische Normalzeit),34
GenericMappingTools/gmtmex,Fri Jun 23 2023 14:39:56 GMT+0200 (Mitteleuropäische Sommerzeit),37
GenericMappingTools/gmtmex,Sun Apr 14 2024 00:06:35 GMT+0200 (Mitteleuropäische Sommerzeit),40
GenericMappingTools/gmtmex,Thu Nov 07 2024 09:32:06 GMT+0100 (Mitteleuropäische Normalzeit),43
GenericMappingTools/gmtmex,Tue Feb 11 2025 01:43:13 GMT+0100 (Mitteleuropäische Normalzeit),46
GenericMappingTools/gmtmex,Thu Jul 17 2025 14:13:40 GMT+0200 (Mitteleuropäische Sommerzeit),49
GenericMappingTools/gmtmex,Fri Nov 21 2025 15:23:28 GMT+0100 (Mitteleuropäische Normalzeit),51
