Repository,Date,Stars
GenericMappingTools/pygmt,Wed Mar 29 2017 18:55:38 GMT+0200 (Mitteleuropäische Sommerzeit),0
GenericMappingTools/pygmt,Thu Mar 30 2017 18:55:38 GMT+0200 (Mitteleuropäische Sommerzeit),1
GenericMappingTools/pygmt,Fri Dec 15 2017 05:43:03 GMT+0100 (Mitteleuropäische Normalzeit),56
GenericMappingTools/pygmt,Thu Aug 16 2018 00:40:24 GMT+0200 (Mitteleuropäische Sommerzeit),111
GenericMappingTools/pygmt,Thu Apr 04 2019 06:16:00 GMT+0200 (Mitteleuropäische Sommerzeit),166
GenericMappingTools/pygmt,Sun Feb 09 2020 03:16:37 GMT+0100 (Mitteleuropäische Normalzeit),221
GenericMappingTools/pygmt,Tue Sep 22 2020 16:42:43 GMT+0200 (Mitteleuropäische Sommerzeit),276
GenericMappingTools/pygmt,Tue Apr 06 2021 06:11:27 GMT+0200 (Mitteleuropäische Sommerzeit),331
GenericMappingTools/pygmt,Mon Sep 27 2021 08:17:59 GMT+0200 (Mitteleuropäische Sommerzeit),386
GenericMappingTools/pygmt,Tue Feb 08 2022 17:27:56 GMT+0100 (Mitteleuropäische Normalzeit),441
GenericMappingTools/pygmt,Sun Jun 19 2022 04:58:52 GMT+0200 (Mitteleuropäische Sommerzeit),496
GenericMappingTools/pygmt,Thu Dec 01 2022 19:47:20 GMT+0100 (Mitteleuropäische Normalzeit),551
GenericMappingTools/pygmt,Sun Jun 11 2023 18:13:29 GMT+0200 (Mitteleuropäische Sommerzeit),606
GenericMappingTools/pygmt,Sun Nov 12 2023 06:54:04 GMT+0100 (Mitteleuropäische Normalzeit),661
GenericMappingTools/pygmt,Fri May 10 2024 20:05:01 GMT+0200 (Mitteleuropäische Sommerzeit),716
GenericMappingTools/pygmt,Mon Jan 06 2025 20:51:42 GMT+0100 (Mitteleuropäische Normalzeit),771
GenericMappingTools/pygmt,Fri Nov 21 2025 15:13:34 GMT+0100 (Mitteleuropäische Normalzeit),825
